archetype,tariff,scenario,year,annual_bill_eur,baseline_bill_eur,c_star,c_star_avg,worst_month_eur_2023,worst_month_eur_2024,worst_month_eur_2025,loss_month_prob_2023,loss_month_prob_2024,loss_month_prob_2025,worst_month_eur_pooled,loss_month_prob_pooled
B,T3_AWA,passive,2024,2916.3419688973627,2891.82,-24.521968897362513,48.50982942782715,-13.853988358835053,37.20768565648717,70.37184406189431,0.0,0.4166666666666667,1.0,70.37184406189431,0.4722222222222222
B,T3_AWA,passive,2025,3082.8005750930947,2824.3199999999997,-258.480575093095,48.50982942782715,-13.853988358835053,37.20768565648717,70.37184406189431,0.0,0.4166666666666667,1.0,70.37184406189431,0.4722222222222222
B,T3_OCT,automated,2023,2813.837656434409,3401.8199999999997,587.9823435655908,212.62019825135985,-18.51687845576356,12.578058784636994,45.86979274029068,0.0,0.16666666666666666,0.5833333333333334,45.86979274029068,0.25
B,T3_OCT,automated,2024,2755.2122109710363,2891.82,136.6077890289639,212.62019825135985,-18.51687845576356,12.578058784636994,45.86979274029068,0.0,0.16666666666666666,0.5833333333333334,45.86979274029068,0.25
B,T3_OCT,automated,2025,2911.049537840475,2824.3199999999997,-86.72953784047513,212.62019825135985,-18.51687845576356,12.578058784636994,45.86979274029068,0.0,0.16666666666666666,0.5833333333333334,45.86979274029068,0.25
B,T3_OCT,passive,2023,2880.576717726061,3401.8199999999997,521.2432822739388,141.22107942782682,-14.409113269165516,22.738192713369813,54.25031256566086,0.0,0.25,1.0,54.25031256566086,0.4166666666666667
B,T3_OCT,passive,2024,2823.6307188973633,2891.82,68.18928110263687,141.22107942782682,-14.409113269165516,22.738192713369813,54.25031256566086,0.0,0.25,1.0,54.25031256566086,0.4166666666666667
B,T3_OCT,passive,2025,2990.089325093095,2824.3199999999997,-165.76932509309518,141.22107942782682,-14.409113269165516,22.738192713369813,54.25031256566086,0.0,0.25,1.0,54.25031256566086,0.4166666666666667
B,T3_TIB,automated,2023,2956.045156434409,3401.8199999999997,445.7748435655908,70.41269825135987,-15.303366659006997,32.461651891760766,67.83275784779886,0.0,0.3333333333333333,0.9166666666666666,67.83275784779886,0.4166666666666667
B,T3_TIB,automated,2024,2897.4197109710362,2891.82,-5.599710971036075,70.41269825135987,-15.303366659006997,32.461651891760766,67.83275784779886,0.0,0.3333333333333333,0.9166666666666666,67.83275784779886,0.4166666666666667
B,T3_TIB,automated,2025,3053.257037840475,2824.3199999999997,-228.9370378404751,70.41269825135987,-15.303366659006997,32.461651891760766,67.83275784779886,0.0,0.3333333333333333,0.9166666666666666,67.83275784779886,0.4166666666666667
B,T3_TIB,passive,2023,3022.784217726061,3401.8199999999997,379.0357822739388,-0.9864205721731499,-11.195601472408939,43.36765733753708,76.21327767316905,0.0,0.6666666666666666,1.0,76.21327767316905,0.5555555555555556
B,T3_TIB,passive,2024,2965.8382188973633,2891.82,-74.01821889736311,-0.9864205721731499,-11.195601472408939,43.36765733753708,76.21327767316905,0.0,0.6666666666666666,1.0,76.21327767316905,0.5555555555555556
B,T3_TIB,passive,2025,3132.296825093095,2824.3199999999997,-307.97682509309516,-0.9864205721731499,-11.195601472408939,43.36765733753708,76.21327767316905,0.0,0.6666666666666666,1.0,76.21327767316905,0.5555555555555556
B,T4,automated,2023,2815.687135260571,3401.8199999999997,586.1328647394289,320.40586086157435,-13.89656825743171,-2.5547141900950834,22.110690719475656,0.0,0.0,0.25,22.110690719475656,0.08333333333333333
B,T4,automated,2024,2570.7090992586072,2891.82,321.1109007413929,320.40586086157435,-13.89656825743171,-2.5547141900950834,22.110690719475656,0.0,0.0,0.25,22.110690719475656,0.08333333333333333
B,T4,automated,2025,2770.3461828960985,2824.3199999999997,53.97381710390118,320.40586086157435,-13.89656825743171,-2.5547141900950834,22.110690719475656,0.0,0.0,0.25,22.110690719475656,0.08333333333333333
B,T4,passive,2023,2955.7713450086144,3401.8199999999997,446.0486549913853,178.80729372431597,-7.150595376931477,6.070046913979581,39.730448532641276,0.0,0.16666666666666666,0.6666666666666666,39.730448532641276,0.2777777777777778
B,T4,passive,2024,2709.3087403336185,2891.82,182.51125966638165,178.80729372431597,-7.150595376931477,6.070046913979581,39.730448532641276,0.0,0.16666666666666666,0.6666666666666666,39.730448532641276,0.2777777777777778
