datetime,load_C,load_B,load_ev,load_A,load_hp,year,month,hour,dayofweek
2025-07-02 20:00:00,2.1845649137502776,0.47223614662698987,1.7123287671232876,0.47223614662698987,0.0,2025,7,20,2
2025-07-02 21:00:00,2.163530475213694,0.4512017080904061,1.7123287671232876,0.4512017080904061,0.0,2025,7,21,2
2025-07-02 22:00:00,0.4210466609526877,0.4210466609526877,0.0,0.4210466609526877,0.0,2025,7,22,2
2025-07-02 23:00:00,0.33891924328220074,0.33891924328220074,0.0,0.33891924328220074,0.0,2025,7,23,2
2025-07-03 00:00:00,0.2708383042369788,0.2708383042369788,0.0,0.2708383042369788,0.0,2025,7,0,3
2025-07-03 01:00:00,0.2348888622398155,0.2348888622398155,0.0,0.2348888622398155,0.0,2025,7,1,3
2025-07-03 02:00:00,0.21895539043339837,0.21895539043339837,0.0,0.21895539043339837,0.0,2025,7,2,3
2025-07-03 03:00:00,0.21496504146540502,0.21496504146540502,0.0,0.21496504146540502,0.0,2025,7,3,3
2025-07-03 04:00:00,0.2223509568050428,0.2223509568050428,0.0,0.2223509568050428,0.0,2025,7,4,3
2025-07-03 05:00:00,0.24341966426726103,0.24341966426726103,0.0,0.24341966426726103,0.0,2025,7,5,3
2025-07-03 06:00:00,0.287447538429858,0.287447538429858,0.0,0.287447538429858,0.0,2025,7,6,3
2025-07-03 07:00:00,0.31400053236733083,0.31400053236733083,0.0,0.31400053236733083,0.0,2025,7,7,3
2025-07-03 08:00:00,0.313623557482321,0.313623557482321,0.0,0.313623557482321,0.0,2025,7,8,3
2025-07-03 09:00:00,0.31701074663429857,0.31701074663429857,0.0,0.31701074663429857,0.0,2025,7,9,3
2025-07-03 10:00:00,0.3226234838111121,0.3226234838111121,0.0,0.3226234838111121,0.0,2025,7,10,3
2025-07-03 11:00:00,0.3527703049856791,0.3527703049856791,0.0,0.3527703049856791,0.0,2025,7,11,3
2025-07-03 12:00:00,0.36664018834748663,0.36664018834748663,0.0,0.36664018834748663,0.0,2025,7,12,3
2025-07-03 13:00:00,0.3541134525389365,0.3541134525389365,0.0,0.3541134525389365,0.0,2025,7,13,3
2025-07-03 14:00:00,0.3425780210576345,0.3425780210576345,0.0,0.3425780210576345,0.0,2025,7,14,3
2025-07-03 15:00:00,0.34439308531879315,0.34439308531879315,0.0,0.34439308531879315,0.0,2025,7,15,3
2025-07-03 16:00:00,0.3681871815793049,0.3681871815793049,0.0,0.3681871815793049,0.0,2025,7,16,3
2025-07-03 17:00:00,0.4179534512137188,0.4179534512137188,0.0,0.4179534512137188,0.0,2025,7,17,3
2025-07-03 18:00:00,2.1807382123906605,0.46840944526737294,1.7123287671232876,0.46840944526737294,0.0,2025,7,18,3
2025-07-03 19:00:00,2.197118469245978,0.4847897021226907,1.7123287671232876,0.4847897021226907,0.0,2025,7,19,3
2025-07-03 20:00:00,2.1839550647427446,0.4716262976194571,1.7123287671232876,0.4716262976194571,0.0,2025,7,20,3
2025-07-03 21:00:00,2.1629477902247505,0.4506190231014628,1.7123287671232876,0.4506190231014628,0.0,2025,7,21,3
2025-07-03 22:00:00,0.4205029183990077,0.4205029183990077,0.0,0.4205029183990077,0.0,2025,7,22,3
2025-07-03 23:00:00,0.3618990734274651,0.3618990734274651,0.0,0.3384815606405273,0.023417512786937766,2025,7,23,3
2025-07-04 00:00:00,0.3563705973391623,0.3563705973391623,0.0,0.27050638378705744,0.08586421355210491,2025,7,0,4
2025-07-04 01:00:00,0.3829119132245513,0.3829119132245513,0.0,0.23460099890727912,0.1483109143172722,2025,7,1,4
2025-07-04 02:00:00,0.44505634432129193,0.44505634432129193,0.0,0.2186870540475607,0.22636929027373123,2025,7,2,4
2025-07-04 03:00:00,0.46448839843235545,0.46448839843235545,0.0,0.2147015953716866,0.24978680306066886,2025,7,3,4
2025-07-04 04:00:00,0.4562535869203408,0.4562535869203408,0.0,0.22207845905096368,0.2341751278693771,2025,7,4,4
2025-07-04 05:00:00,0.40704393569001757,0.40704393569001757,0.0,0.24312134618145362,0.16392258950856395,2025,7,5,4
2025-07-04 06:00:00,0.28709526286620307,0.28709526286620307,0.0,0.28709526286620307,0.0,2025,7,6,4
2025-07-04 07:00:00,0.31361571531468935,0.31361571531468935,0.0,0.31361571531468935,0.0,2025,7,7,4
2025-07-04 08:00:00,0.3132392024236866,0.3132392024236866,0.0,0.3132392024236866,0.0,2025,7,8,4
2025-07-04 09:00:00,0.3166222404739561,0.3166222404739561,0.0,0.3166222404739561,0.0,2025,7,9,4
2025-07-04 10:00:00,0.3222280990733312,0.3222280990733312,0.0,0.3222280990733312,0.0,2025,7,10,4
2025-07-04 11:00:00,0.35233797441604414,0.35233797441604414,0.0,0.35233797441604414,0.0,2025,7,11,4
2025-07-04 12:00:00,0.3661908598205695,0.3661908598205695,0.0,0.3661908598205695,0.0,2025,7,12,4
2025-07-04 13:00:00,0.3536794759017653,0.3536794759017653,0.0,0.3536794759017653,0.0,2025,7,13,4
2025-07-04 14:00:00,0.3421581814370795,0.3421581814370795,0.0,0.3421581814370795,0.0,2025,7,14,4
2025-07-04 15:00:00,0.3439710212826485,0.3439710212826485,0.0,0.3439710212826485,0.0,2025,7,15,4
2025-07-04 16:00:00,0.3677359571658699,0.3677359571658699,0.0,0.3677359571658699,0.0,2025,7,16,4
2025-07-04 17:00:00,0.4174412367469953,0.4174412367469953,0.0,0.4174412367469953,0.0,2025,7,17,4
2025-07-04 18:00:00,2.1801641625927246,0.467835395469437,1.7123287671232876,0.467835395469437,0.0,2025,7,18,4
2025-07-04 19:00:00,2.196524344952891,0.4841955778296032,1.7123287671232876,0.4841955778296032,0.0,2025,7,19,4
