year,p_scenario,q_scenario,p,q,M_t,I_t,effective_ceiling,adoption_unconstrained,adoption_constrained,adoption_rate_of_M,adoption_rate_of_I,infra_wedge,infra_wedge_pct
2035,low,high,0.003,0.5,11090000.0,5345335.333549026,5345335.333549026,5272023.783492009,5272023.783492009,0.47538537272245346,0.9862849483741665,0.0,0.0
2025,central,low,0.01,0.15,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,central,low,0.01,0.15,2300000.0,1422956.605643888,1422956.605643888,118974.51175863185,118974.51175863185,0.0517280485907095,0.08361078003836658,0.0,0.0
2027,central,low,0.01,0.15,3100000.0,1808308.7212346396,1808308.7212346396,255377.31442710923,255377.31442710923,0.0823797788474546,0.14122440014155768,0.0,0.0
2028,central,low,0.01,0.15,4100000.0,2250713.7307305713,2250713.7307305713,411184.0712158526,411184.0712158526,0.10028879785752502,0.1826905241664759,0.0,0.0
2029,central,low,0.01,0.15,5260000.0,2736678.6875862107,2736678.6875862107,588404.947900659,588404.947900659,0.11186405853624697,0.21500695370987835,0.0,0.0
2030,central,low,0.01,0.15,6410000.0,3245270.381212191,3245270.381212191,789017.2478996244,789017.2478996244,0.12309161433691489,0.2431283545640676,0.0,0.0
2031,central,low,0.01,0.15,7340000.0,3751279.792721624,3751279.792721624,1014877.4660768571,1014877.4660768571,0.1382666847516154,0.27054166102084976,0.0,0.0
2032,central,low,0.01,0.15,8280000.0,4229999.999999951,4229999.999999951,1267612.3956951252,1267612.3956951252,0.15309328450424217,0.2996719611572435,0.0,0.0
2033,central,low,0.01,0.15,9220000.0,4661807.654819352,4661807.654819352,1548491.2856041149,1548491.2856041149,0.16794916329762635,0.33216541742199357,0.0,0.0
2034,central,low,0.01,0.15,10150000.0,5034861.1857559215,5034861.1857559215,1858284.2655939304,1858284.2655939304,0.18308219365457443,0.3690835153213727,0.0,0.0
2035,central,low,0.01,0.15,11090000.0,5345335.333549026,5345335.333549026,2197116.140248583,2197116.140248583,0.1981168746842726,0.41103429497842403,0.0,0.0
2025,central,central,0.01,0.3,1730000.0,1100000.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,central,central,0.01,0.3,2300000.0,1422956.605643888,1422956.605643888,128505.8790951306,128505.8790951306,0.05587212134570896,0.09030906394856762,0.0,0.0
