datetime,load_D,load_A,load_ev,year,month,hour,dayofweek
2023-01-12 00:00:00,0.3276195976743653,0.3276195976743653,0.0,2023,1,0,3
2023-01-12 01:00:00,0.2816260483229481,0.2816260483229481,0.0,2023,1,1,3
2023-01-12 02:00:00,0.26663189515049796,0.26663189515049796,0.0,2023,1,2,3
2023-01-12 03:00:00,0.26428298776305875,0.26428298776305875,0.0,2023,1,3,3
2023-01-12 04:00:00,0.2758597456011519,0.2758597456011519,0.0,2023,1,4,3
2023-01-12 05:00:00,0.31395884681583747,0.31395884681583747,0.0,2023,1,5,3
2023-01-12 06:00:00,0.40606515698382395,0.40606515698382395,0.0,2023,1,6,3
2023-01-12 07:00:00,0.4414842078523148,0.4414842078523148,0.0,2023,1,7,3
2023-01-12 08:00:00,0.415058999743624,0.415058999743624,0.0,2023,1,8,3
2023-01-12 09:00:00,0.40081543727768637,0.40081543727768637,0.0,2023,1,9,3
2023-01-12 10:00:00,0.40457722128914914,0.40457722128914914,0.0,2023,1,10,3
2023-01-12 11:00:00,0.44372273425350217,0.44372273425350217,0.0,2023,1,11,3
2023-01-12 12:00:00,0.46347210031368163,0.46347210031368163,0.0,2023,1,12,3
2023-01-12 13:00:00,0.45944540193521444,0.45944540193521444,0.0,2023,1,13,3
2023-01-12 14:00:00,0.4486633871981346,0.4486633871981346,0.0,2023,1,14,3
2023-01-12 15:00:00,0.4635250831870825,0.4635250831870825,0.0,2023,1,15,3
2023-01-12 16:00:00,0.5295108367684332,0.5295108367684332,0.0,2023,1,16,3
2023-01-12 17:00:00,0.6615309115650857,0.6615309115650857,0.0,2023,1,17,3
2023-01-12 18:00:00,2.447642745138554,0.7353139780152664,1.7123287671232876,2023,1,18,3
2023-01-12 19:00:00,2.4403531848064826,0.7280244176831949,1.7123287671232876,2023,1,19,3
2023-01-12 20:00:00,2.3766501100208197,0.6643213428975323,1.7123287671232876,2023,1,20,3
2023-01-12 21:00:00,2.305423467212232,0.5930947000889439,1.7123287671232876,2023,1,21,3
2023-01-12 22:00:00,0.5244686333164492,0.5244686333164492,0.0,2023,1,22,3
2023-01-12 23:00:00,0.42104606443792386,0.42104606443792386,0.0,2023,1,23,3
2023-01-13 00:00:00,0.3277479732274878,0.3277479732274878,0.0,2023,1,0,4
2023-01-13 01:00:00,0.28173640161067504,0.28173640161067504,0.0,2023,1,1,4
2023-01-13 02:00:00,0.2667363730793612,0.2667363730793612,0.0,2023,1,2,4
2023-01-13 03:00:00,0.26438654528823663,0.26438654528823663,0.0,2023,1,3,4
2023-01-13 04:00:00,0.2759678394016362,0.2759678394016362,0.0,2023,1,4,4
2023-01-13 05:00:00,0.314081869494895,0.314081869494895,0.0,2023,1,5,4
2023-01-13 06:00:00,0.40622427090588964,0.40622427090588964,0.0,2023,1,6,4
2023-01-13 07:00:00,0.4416572004931098,0.4416572004931098,0.0,2023,1,7,4
2023-01-13 08:00:00,0.4152216378429587,0.4152216378429587,0.0,2023,1,8,4
2023-01-13 09:00:00,0.40097249413211694,0.40097249413211694,0.0,2023,1,9,4
2023-01-13 10:00:00,0.40473575217354196,0.40473575217354196,0.0,2023,1,10,4
2023-01-13 11:00:00,0.4438966040459296,0.4438966040459296,0.0,2023,1,11,4
2023-01-13 12:00:00,0.46365370876341094,0.46365370876341094,0.0,2023,1,12,4
2023-01-13 13:00:00,0.4596254325500546,0.4596254325500546,0.0,2023,1,13,4
2023-01-13 14:00:00,0.4488391929524491,0.4488391929524491,0.0,2023,1,14,4
2023-01-13 15:00:00,0.46370671239779726,0.46370671239779726,0.0,2023,1,15,4
2023-01-13 16:00:00,0.5297183220563618,0.5297183220563618,0.0,2023,1,16,4
2023-01-13 17:00:00,0.661790128038345,0.661790128038345,0.0,2023,1,17,4
2023-01-13 18:00:00,2.4479308730140428,0.7356021058907551,1.7123287671232876,2023,1,18,4
2023-01-13 19:00:00,2.4406384563163988,0.7283096891931112,1.7123287671232876,2023,1,19,4
2023-01-13 20:00:00,2.376910419905976,0.6645816527826883,1.7123287671232876,2023,1,20,4
2023-01-13 21:00:00,2.3056558674127032,0.5933271002894156,1.7123287671232876,2023,1,21,4
2023-01-13 22:00:00,0.524674142850602,0.524674142850602,0.0,2023,1,22,4
2023-01-13 23:00:00,0.42121104852860686,0.42121104852860686,0.0,2023,1,23,4
2023-01-14 00:00:00,0.36056346467650446,0.36056346467650446,0.0,2023,1,0,5
2023-01-14 01:00:00,0.3054541224030471,0.3054541224030471,0.0,2023,1,1,5
2023-01-14 02:00:00,0.2792094745152625,0.2792094745152625,0.0,2023,1,2,5
2023-01-14 03:00:00,0.26840233499783467,0.26840233499783467,0.0,2023,1,3,5
2023-01-14 04:00:00,0.2680356168539481,0.2680356168539481,0.0,2023,1,4,5
2023-01-14 05:00:00,0.2726748222886575,0.2726748222886575,0.0,2023,1,5,5
2023-01-14 06:00:00,0.3203128346667877,0.3203128346667877,0.0,2023,1,6,5
2023-01-14 07:00:00,0.4099864665742753,0.4099864665742753,0.0,2023,1,7,5
2023-01-14 08:00:00,0.5053243474029985,0.5053243474029985,0.0,2023,1,8,5
2023-01-14 09:00:00,0.5639639040977252,0.5639639040977252,0.0,2023,1,9,5
